config,grid,seed,initial_greed,regen_rate,collapse_threshold,recolonise_rate,world_scale,initial_agents,source_slots,verdict,extinct_tick,final_pop,min_pop,max_pop,final_sources,min_sources,greed_start,greed_end,greed_delta,total_harvest,total_collapsed,state_hash
0,economy,42,0.1,1.5,0.05,0,1,1000,2000,remnant,0,42,42,1000,2000,2000,0.100000,0.100000,0.000000,69658.340918,0,74d3378d5030f883
1,economy,43,0.1,1.5,0.05,0,1,1000,2000,remnant,0,47,45,1000,2000,2000,0.100000,0.101180,0.001180,72097.408370,0,9ed00d5c8bb99de5
2,economy,44,0.1,1.5,0.05,0,1,1000,2000,remnant,0,49,48,1000,2000,2000,0.100000,0.100148,0.000148,70748.213639,0,344672f843d0d80d
3,economy,42,0.1,1.5,0.05,2,1,1000,2000,remnant,0,42,42,1000,2000,2000,0.100000,0.100000,0.000000,69658.340918,0,648ba547b62829e0
4,economy,43,0.1,1.5,0.05,2,1,1000,2000,remnant,0,47,45,1000,2000,2000,0.100000,0.101180,0.001180,72097.408370,0,8a70c608a344e6b2
5,economy,44,0.1,1.5,0.05,2,1,1000,2000,remnant,0,49,48,1000,2000,2000,0.100000,0.100148,0.000148,70748.213639,0,c9bc17313f0fc07a
6,economy,42,0.1,1.5,0.05,10,1,1000,2000,remnant,0,42,42,1000,2000,2000,0.100000,0.100000,0.000000,69658.340918,0,d0e2469a5b323ddb
7,economy,43,0.1,1.5,0.05,10,1,1000,2000,remnant,0,47,45,1000,2000,2000,0.100000,0.101180,0.001180,72097.408370,0,359c804b13b05641
8,economy,44,0.1,1.5,0.05,10,1,1000,2000,remnant,0,49,48,1000,2000,2000,0.100000,0.100148,0.000148,70748.213639,0,169a965950359419
9,economy,42,0.1,1.5,0.05,50,1,1000,2000,remnant,0,42,42,1000,2000,2000,0.100000,0.100000,0.000000,69658.340918,0,3cf39e150eb9f62e
10,economy,43,0.1,1.5,0.05,50,1,1000,2000,remnant,0,47,45,1000,2000,2000,0.100000,0.101180,0.001180,72097.408370,0,1f33feda2a34a344
11,economy,44,0.1,1.5,0.05,50,1,1000,2000,remnant,0,49,48,1000,2000,2000,0.100000,0.100148,0.000148,70748.213639,0,01b11ae0f1070cdc
12,economy,42,0.1,1.5,0.1,0,1,1000,2000,remnant,0,43,43,1000,1991,1991,0.100000,0.100000,0.000000,68710.255283,9,bc690db777831e48
13,economy,43,0.1,1.5,0.1,0,1,1000,2000,sustained,0,51,48,1000,1982,1982,0.100000,0.098920,-0.001080,72370.862359,18,ff5a9352a6ede470
14,economy,44,0.1,1.5,0.1,0,1,1000,2000,remnant,0,42,35,1000,1989,1989,0.100000,0.099736,-0.000264,70113.400555,11,7ae70fada443887d
15,economy,42,0.1,1.5,0.1,2,1,1000,2000,remnant,0,45,37,1000,2000,2000,0.100000,0.102388,0.002388,68377.919845,9,1c22d3f73e4a22a8
16,economy,43,0.1,1.5,0.1,2,1,1000,2000,sustained,0,53,45,1000,2000,2000,0.100000,0.099304,-0.000696,73373.042239,18,4ccffd93c19c4617
17,economy,44,0.1,1.5,0.1,2,1,1000,2000,remnant,0,42,35,1000,2000,2000,0.100000,0.099736,-0.000264,70113.400555,11,d59ef1aba7c019f8
18,economy,42,0.1,1.5,0.1,10,1,1000,2000,remnant,0,45,37,1000,2000,2000,0.100000,0.102388,0.002388,68377.919845,9,c998505940d3c89a
19,economy,43,0.1,1.5,0.1,10,1,1000,2000,sustained,0,53,45,1000,2000,2000,0.100000,0.099304,-0.000696,73373.042239,18,c950ea90c9c38c7a
20,economy,44,0.1,1.5,0.1,10,1,1000,2000,remnant,0,42,35,1000,2000,2000,0.100000,0.099736,-0.000264,70113.400555,11,bcb196ba8f398293
21,economy,42,0.1,1.5,0.1,50,1,1000,2000,remnant,0,45,37,1000,2000,2000,0.100000,0.102388,0.002388,68377.919845,9,735bdef453e9bd56
22,economy,43,0.1,1.5,0.1,50,1,1000,2000,sustained,0,53,45,1000,2000,2000,0.100000,0.099304,-0.000696,73373.042239,18,4298da236ebcd3e2
23,economy,44,0.1,1.5,0.1,50,1,1000,2000,remnant,0,42,35,1000,2000,2000,0.100000,0.099736,-0.000264,70113.400555,11,c077d4e62727854e
24,economy,42,0.1,1.5,0.2,0,1,1000,2000,remnant,0,1,1,1000,988,988,0.100000,0.100000,0.000000,63754.188856,1012,8edf46c5ff3ed1f9
25,economy,43,0.1,1.5,0.2,0,1,1000,2000,remnant,0,3,2,1000,666,666,0.100000,0.095708,-0.004292,64864.529443,1334,1dce25b214e79fc4
26,economy,44,0.1,1.5,0.2,0,1,1000,2000,remnant,0,7,6,1000,930,930,0.100000,0.097205,-0.002795,65992.995228,1070,d52ffaf3eb02e0e3
27,economy,42,0.1,1.5,0.2,2,1,1000,2000,remnant,0,8,8,1000,1578,1185,0.100000,0.100000,0.000000,69357.671282,1088,83e31fb1403949bc
28,economy,43,0.1,1.5,0.2,2,1,1000,2000,remnant,0,12,8,1000,1373,963,0.100000,0.104744,0.004744,68987.066507,1293,4aae09f1a4bd3067
29,economy,44,0.1,1.5,0.2,2,1,1000,2000,remnant,0,7,6,1000,1686,1252,0.100000,0.100790,0.000790,67211.251045,980,6c130d572ba266e9
30,economy,42,0.1,1.5,0.2,10,1,1000,2000,remnant,0,12,11,1000,2000,1892,0.100000,0.100729,0.000729,72946.513870,894,80eb28e2ba59a0e7
31,economy,43,0.1,1.5,0.2,10,1,1000,2000,remnant,0,9,8,1000,2000,1743,0.100000,0.099438,-0.000562,79936.722608,1323,bef6581962c2257f
32,economy,44,0.1,1.5,0.2,10,1,1000,2000,remnant,0,22,20,1000,2000,1810,0.100000,0.099237,-0.000763,76617.729191,1023,77940a2595f2a439
33,economy,42,0.1,1.5,0.2,50,1,1000,2000,remnant,0,8,7,1000,2000,2000,0.100000,0.109090,0.009090,71902.193534,901,54edbe7c763dbd84
34,economy,43,0.1,1.5,0.2,50,1,1000,2000,remnant,0,23,19,1000,2000,2000,0.100000,0.101767,0.001767,84313.342986,1304,61bd1b21fcfdc95d
35,economy,44,0.1,1.5,0.2,50,1,1000,2000,remnant,0,12,11,1000,2000,2000,0.100000,0.097062,-0.002938,75218.272117,1046,5bc30f5b9ffe2353
36,economy,42,0.1,3,0.05,0,1,1000,2000,sustained,0,568,561,1376,2000,2000,0.100000,0.099895,-0.000105,328643.425257,0,73c7a35a8d1188eb
37,economy,43,0.1,3,0.05,0,1,1000,2000,sustained,0,627,616,1422,2000,2000,0.100000,0.099858,-0.000142,348295.776816,0,cf37f22f91204f04
38,economy,44,0.1,3,0.05,0,1,1000,2000,sustained,0,575,546,1384,2000,2000,0.100000,0.100525,0.000525,330898.756615,0,a6f0dc871b64b540
39,economy,42,0.1,3,0.05,2,1,1000,2000,sustained,0,568,561,1376,2000,2000,0.100000,0.099895,-0.000105,328643.425257,0,e3ace46c2fd6d748
40,economy,43,0.1,3,0.05,2,1,1000,2000,sustained,0,627,616,1422,2000,2000,0.100000,0.099858,-0.000142,348295.776816,0,9488fed68ccc7273
41,economy,44,0.1,3,0.05,2,1,1000,2000,sustained,0,575,546,1384,2000,2000,0.100000,0.100525,0.000525,330898.756615,0,26dc581a44450887
42,economy,42,0.1,3,0.05,10,1,1000,2000,sustained,0,568,561,1376,2000,2000,0.100000,0.099895,-0.000105,328643.425257,0,6864540cc8a32293
43,economy,43,0.1,3,0.05,10,1,1000,2000,sustained,0,627,616,1422,2000,2000,0.100000,0.099858,-0.000142,348295.776816,0,72687537788f41b0
44,economy,44,0.1,3,0.05,10,1,1000,2000,sustained,0,575,546,1384,2000,2000,0.100000,0.100525,0.000525,330898.756615,0,3a55461c5c36ecbc
45,economy,42,0.1,3,0.05,50,1,1000,2000,sustained,0,568,561,1376,2000,2000,0.100000,0.099895,-0.000105,328643.425257,0,9fa3e76db5b1a186
46,economy,43,0.1,3,0.05,50,1,1000,2000,sustained,0,627,616,1422,2000,2000,0.100000,0.099858,-0.000142,348295.776816,0,5d446348efb97f4d
47,economy,44,0.1,3,0.05,50,1,1000,2000,sustained,0,575,546,1384,2000,2000,0.100000,0.100525,0.000525,330898.756615,0,8562823476501169
48,economy,42,0.1,3,0.1,0,1,1000,2000,sustained,0,568,561,1376,2000,2000,0.100000,0.099895,-0.000105,328643.425257,0,73c7a35a8d1188eb
49,economy,43,0.1,3,0.1,0,1,1000,2000,sustained,0,627,616,1422,2000,2000,0.100000,0.099858,-0.000142,348295.776816,0,cf37f22f91204f04
50,economy,44,0.1,3,0.1,0,1,1000,2000,sustained,0,575,546,1384,2000,2000,0.100000,0.100525,0.000525,330898.756615,0,a6f0dc871b64b540
51,economy,42,0.1,3,0.1,2,1,1000,2000,sustained,0,568,561,1376,2000,2000,0.100000,0.099895,-0.000105,328643.425257,0,e3ace46c2fd6d748
52,economy,43,0.1,3,0.1,2,1,1000,2000,sustained,0,627,616,1422,2000,2000,0.100000,0.099858,-0.000142,348295.776816,0,9488fed68ccc7273
53,economy,44,0.1,3,0.1,2,1,1000,2000,sustained,0,575,546,1384,2000,2000,0.100000,0.100525,0.000525,330898.756615,0,26dc581a44450887
54,economy,42,0.1,3,0.1,10,1,1000,2000,sustained,0,568,561,1376,2000,2000,0.100000,0.099895,-0.000105,328643.425257,0,6864540cc8a32293
55,economy,43,0.1,3,0.1,10,1,1000,2000,sustained,0,627,616,1422,2000,2000,0.100000,0.099858,-0.000142,348295.776816,0,72687537788f41b0
56,economy,44,0.1,3,0.1,10,1,1000,2000,sustained,0,575,546,1384,2000,2000,0.100000,0.100525,0.000525,330898.756615,0,3a55461c5c36ecbc
57,economy,42,0.1,3,0.1,50,1,1000,2000,sustained,0,568,561,1376,2000,2000,0.100000,0.099895,-0.000105,328643.425257,0,9fa3e76db5b1a186
58,economy,43,0.1,3,0.1,50,1,1000,2000,sustained,0,627,616,1422,2000,2000,0.100000,0.099858,-0.000142,348295.776816,0,5d446348efb97f4d
59,economy,44,0.1,3,0.1,50,1,1000,2000,sustained,0,575,546,1384,2000,2000,0.100000,0.100525,0.000525,330898.756615,0,8562823476501169
60,economy,42,0.1,3,0.2,0,1,1000,2000,remnant,0,46,46,1372,594,594,0.100000,0.100000,0.000000,201247.899415,1406,790681f7d688c253
61,economy,43,0.1,3,0.2,0,1,1000,2000,remnant,0,44,42,1421,466,466,0.100000,0.096591,-0.003409,190507.328655,1534,3ea46f4d90040ad5
62,economy,44,0.1,3,0.2,0,1,1000,2000,sustained,0,75,65,1426,676,676,0.100000,0.098067,-0.001933,215193.127099,1324,e96f8b6f5533ac2d
63,economy,42,0.1,3,0.2,2,1,1000,2000,sustained,0,141,138,1371,1272,1108,0.100000,0.100180,0.000180,232413.994403,1394,f7dbd784585fddb8
64,economy,43,0.1,3,0.2,2,1,1000,2000,sustained,0,89,76,1411,958,778,0.100000,0.103061,0.003061,219136.400901,1708,2f580241b67257a5
65,economy,44,0.1,3,0.2,2,1,1000,2000,sustained,0,267,266,1429,1786,1664,0.100000,0.099813,-0.000187,278511.009651,880,6ac034dd1e79c018
